,0,1
0, ,1314504
1,公司,216039
2,市场,160714
3,亿元,141152
4,企业,140750
5,发展,107422
6,中,107140
7,新,89118
8,经济,84205
9,投资,84029
10,疫情,73122
11,增长,72647
12,行业,71839
13,资金,70951
14,来源,69550
15,股份,67772
16,文章,63920
17,项目,63709
18,基金,63578
19,产品,63064
20,服务,62686
21,数据,62139
22,业务,55528
23,科技,54508
24,集团,54226
25,同比,52345
26,有限公司,51694
27,证券,51354
28,显示,50746
29,元,50090
30,影响,47481
31,相关,47462
32,产业,46659
33,上半年,44286
34,持续,43083
35,管理,41790
36,家,41643
37,银行,41475
38,提升,41456
39,投资者,40906
40,上市,40380
41,政策,40206
42,技术,39564
43,金融,39083
44,发行,38985
45,平台,38849
46,占,38764
47,机构,38508
48,超过,38499
49,创新,38474
50,情况,37908
51,提供,37780
52,全球,36709
53,上涨,36043
54,消费,35980
55,需求,35805
56,风险,35652
57,股东,35488
58,发布,35444
59,资产,34357
60,国际,33960
61,业绩,33799
62,板块,33658
63,价格,33620
64,进一步,33552
65,未来,33415
66,规模,33024
67,下降,32924
68,交易,32531
69,指数,32243
70,销售,32242
71,高,32188
72,支持,32086
73,国内,32065
74,资本,31835
75,领域,31643
76,A股,31410
77,预计,31052
78,国家,29750
79,融资,29638
80,汽车,29610
81,收入,29570
82,增加,29382
83,股,28761
84,推动,28719
85,信息,28716
86,经营,28637
87,合作,28612
88,城市,28518
89,计划,28356
90,包括,27946
91,公告,27348
92,能力,26672
93,前,26310
94,预期,25798
95,时间,25563
96,全国,25446
97,称,25269
98,点,25231
99,上海,25195
100,估值,24329
101,监管,24278
102,方式,24024
103,上市公司,23688
104,品牌,23451
105,净利润,23189
106,披露,22880
107,券商,22720
108,重点,22626
109,研发,22574
110,说,22567
111,活动,22497
112,改革,22283
113,报告,22083
114,涨幅,22015
115,中心,21888
116,总,21802
117,股权,21604
118,贷款,21570
119,客户,21524
120,调整,21504
121,累计,21118
122,实施,20958
123,战略,20941
124,环境,20817
125,月份,20764
126,股票,20692
127,北京,20145
128,整体,20050
129,股价,20036
130,控股,19740
131,政府,19718
132,比例,19657
133,就业,19617
134,金额,19563
135,提高,19376
136,创业板,19320
137,模式,19250
138,研究,19139
139,我国,19089
140,水平,19060
141,达,18793
142,互联网,18734
143,表现,18686
144,大幅,18607
145,带来,18516
146,恢复,18321
147,智能,18138
148,加快,18014
149,做,17969
150,系统,17840
151,优势,17587
152,旅游,17530
153,健康,17528
154,人民币,17411
155,美元,17379
156,基础,17369
157,核心,17326
158,个股,17261
159,社会,17156
160,参与,17052
161,成本,17032
162,工业,16991
163,成交,16987
164,指出,16952
165,下半年,16930
166,用户,16887
167,医疗,16854
168,科创板,16748
169,减少,16632
170,亿美元,16613
171,价值,16545
172,期间,16533
173,生物,16532
174,公开,16468
175,超,16406
176,保障,16403
177,部门,16317
178,综合,16299
179,地区,16262
180,亿,16256
181,第一,16243
182,持有,16229
183,连续,16208
184,近期,16194
185,运营,16133
186,5G,16120
187,打造,16117
188,低,15958
189,资源,15906
190,医药,15661
191,复苏,15637
192,措施,15559
193,万股,15502
194,文化,15467
195,未,15442
196,市值,15372
197,盈利,15228
198,协议,15218
199,数量,15159
200,净,15001
201,直播,14988
202,本次,14960
203,目标,14921
204,空间,14917
205,沪,14908
206,增速,14907
207,长期,14889
208,受,14865
209,债券,14831
210,报,14783
211,网络,14741
212,减持,14706
213,类,14612
214,升级,14586
215,控制,14574
216,收益,14452
217,稳定,14397
218,下跌,14369
219,成立,14241
220,申请,14198
221,制度,14150
222,数字,14115
223,历史,14089
224,推出,14083
225,消费者,13983
226,加大,13860
227,行情,13807
228,电子,13772
229,机制,13668
230,处于,13652
231,利率,13612
232,较大,13578
233,区域,13478
234,正式,13454
235,时代,13446
236,标准,13439
237,体系,13422
238,优化,13385
239,分析,13379
240,区,13300
241,营业,13272
242,新冠,13246
243,开发,13234
244,合计,13230
245,深圳,13228
246,原因,13223
247,趋势,13216
248,快速,13046
249,此前,13011
250,百分点,13008
251,转型,12996
252,建立,12968
253,导致,12939
254,提出,12884
255,组织,12827
256,防控,12751
